date,symbol,name,failed_count,criterion,detail
2026-04-28,ABB,ABB India Ltd,2,ROE,N/A
2026-04-28,ABB,ABB India Ltd,2,FCF / PAT,-0.66
2026-04-28,ACE,Action Construction Equipment Ltd,1,ROE,N/A
2026-04-28,ADANIPOWER,Adani Power Ltd,1,ROE,N/A
2026-04-28,CPPLUS,Aditya Infotech Ltd,2,ROE,N/A
2026-04-28,CPPLUS,Aditya Infotech Ltd,2,PEG Ratio,N/A
2026-04-28,ABDL,Allied Blenders & Distillers Ltd,1,ROE,N/A
2026-04-28,ANANTRAJ,Anant Raj Ltd,2,ROE,N/A
2026-04-28,ANANTRAJ,Anant Raj Ltd,2,Avg ROCE (3Y),"10.4%  (hist: [1.9, 5.0, 7.8, 10.6, 12.7])"
2026-04-28,BLS,BLS International Services Ltd,2,ROE,N/A
2026-04-28,BLS,BLS International Services Ltd,2,FCF / PAT,0.11
2026-04-28,BATAINDIA,Bata India Ltd,2,ROE,N/A
2026-04-28,BATAINDIA,Bata India Ltd,2,PEG Ratio,N/A
2026-04-28,BPCL,Bharat Petroleum Corporation Ltd,2,ROE,N/A
2026-04-28,BPCL,Bharat Petroleum Corporation Ltd,2,FCF / PAT,0.62
2026-04-28,BLUEDART,Blue Dart Express Ltd,2,ROE,N/A
2026-04-28,BLUEDART,Blue Dart Express Ltd,2,PEG Ratio,2.19
2026-04-28,CEMPRO,Cemindia Projects Ltd,1,ROE,N/A
2026-04-28,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,2,ROE,N/A
2026-04-28,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,2,PEG Ratio,2.51
2026-04-28,CHENNPETRO,Chennai Petroleum Corporation Ltd,1,ROE,N/A
2026-04-28,COALINDIA,Coal India Ltd,1,ROE,N/A
2026-04-28,COLPAL,Colgate-Palmolive (India) Ltd,2,ROE,N/A
2026-04-28,COLPAL,Colgate-Palmolive (India) Ltd,2,PEG Ratio,4.10
2026-04-28,COROMANDEL,Coromandel International Ltd,2,ROE,N/A
2026-04-28,COROMANDEL,Coromandel International Ltd,2,PEG Ratio,2.26
2026-04-28,EIDPARRY,EID Parry (India) Ltd,2,ROE,N/A
2026-04-28,EIDPARRY,EID Parry (India) Ltd,2,Promoter Holding,41.5%
2026-04-28,EIHOTEL,EIH Ltd,2,ROE,N/A
2026-04-28,EIHOTEL,EIH Ltd,2,Promoter Holding,32.9%
2026-04-28,ELECON,Elecon Engineering Company Ltd,1,ROE,N/A
2026-04-28,EMCURE,Emcure Pharmaceuticals Ltd,2,ROE,N/A
2026-04-28,EMCURE,Emcure Pharmaceuticals Ltd,2,PEG Ratio,2.32
2026-04-28,ENGINERSIN,Engineers India Ltd,2,ROE,N/A
2026-04-28,ENGINERSIN,Engineers India Ltd,2,Revenue CAGR 5Y,5.0%
2026-04-28,FSL,Firstsource Solutions Ltd,2,ROE,N/A
2026-04-28,FSL,Firstsource Solutions Ltd,2,PEG Ratio,1.88
2026-04-28,FORCEMOT,Force Motors Ltd,2,ROE,N/A
2026-04-28,FORCEMOT,Force Motors Ltd,2,FCF / PAT,0.66
2026-04-28,GODFRYPHLP,Godfrey Phillips India Ltd,2,ROE,N/A
2026-04-28,GODFRYPHLP,Godfrey Phillips India Ltd,2,FCF / PAT,0.54
2026-04-28,HEG,HEG Ltd,2,ROE,N/A
2026-04-28,HEG,HEG Ltd,2,Avg ROCE (3Y),"6.1%  (hist: [11.6, 12.3, 7.6, 5.1, 5.6])"
2026-04-28,HBLENGINE,HBL Engineering Ltd,1,ROE,N/A
2026-04-28,HCLTECH,HCL Technologies Ltd,2,ROE,N/A
2026-04-28,HCLTECH,HCL Technologies Ltd,2,PEG Ratio,2.24
2026-04-28,HEXT,Hexaware Technologies Ltd,2,ROE,N/A
2026-04-28,HEXT,Hexaware Technologies Ltd,2,PEG Ratio,11.86
2026-04-28,HSCL,Himadri Speciality Chemical Ltd,2,ROE,N/A
2026-04-28,HSCL,Himadri Speciality Chemical Ltd,2,FCF / PAT,0.71
2026-04-28,HINDPETRO,Hindustan Petroleum Corporation Ltd,2,Debt / Equity,1.11
2026-04-28,HINDPETRO,Hindustan Petroleum Corporation Ltd,2,ROE,N/A
2026-04-28,HINDZINC,Hindustan Zinc Ltd,2,ROE,N/A
2026-04-28,HINDZINC,Hindustan Zinc Ltd,2,PEG Ratio,1.62
2026-04-28,HYUNDAI,Hyundai Motor India Ltd,2,ROE,N/A
2026-04-28,HYUNDAI,Hyundai Motor India Ltd,2,PEG Ratio,9.60
2026-04-28,IOC,Indian Oil Corporation Ltd,1,ROE,N/A
2026-04-28,INDUSTOWER,Indus Towers Ltd,2,ROE,N/A
2026-04-28,INDUSTOWER,Indus Towers Ltd,2,PEG Ratio,1.09
2026-04-28,JKTYRE,JK Tyre & Industries Ltd,2,ROE,N/A
2026-04-28,JKTYRE,JK Tyre & Industries Ltd,2,PEG Ratio,1.12
2026-04-28,JSWDULUX,JSW Dulux Ltd,2,ROE,N/A
2026-04-28,JSWDULUX,JSW Dulux Ltd,2,Revenue CAGR 5Y,9.2%
2026-04-28,JINDALSAW,Jindal Saw Ltd,1,ROE,N/A
2026-04-28,JSL,Jindal Stainless Ltd,1,ROE,N/A
2026-04-28,JYOTICNC,Jyoti CNC Automation Ltd,2,ROE,N/A
2026-04-28,JYOTICNC,Jyoti CNC Automation Ltd,2,PEG Ratio,1.38
2026-04-28,KPITTECH,KPIT Technologies Ltd,2,ROE,N/A
2026-04-28,KPITTECH,KPIT Technologies Ltd,2,Promoter Holding,39.4%
2026-04-28,KALYANKJIL,Kalyan Jewellers India Ltd,2,ROE,N/A
2026-04-28,KALYANKJIL,Kalyan Jewellers India Ltd,2,Avg ROCE (3Y),"17.3%  (hist: [11.9, 14.7, 15.4, 16.2, 20.2])"
2026-04-28,LINDEINDIA,Linde India Ltd,2,ROE,N/A
2026-04-28,LINDEINDIA,Linde India Ltd,2,PEG Ratio,3.35
2026-04-28,LLOYDSME,Lloyds Metals & Energy Ltd,2,Debt / Equity,1.06
2026-04-28,LLOYDSME,Lloyds Metals & Energy Ltd,2,ROE,N/A
